市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口
30366,101,和歌山県,有田川町,2015-12-31,天満,1188
30366,102,和歌山県,有田川町,2015-12-31,下津野,2442
30366,106,和歌山県,有田川町,2015-12-31,植野,443
30366,107,和歌山県,有田川町,2015-12-31,土生,554
30366,108,和歌山県,有田川町,2015-12-31,奥,627
30366,109,和歌山県,有田川町,2015-12-31,水尻,1436
30366,110,和歌山県,有田川町,2015-12-31,熊井,394
30366,111,和歌山県,有田川町,2015-12-31,明王寺,633
30366,112,和歌山県,有田川町,2015-12-31,小島,405
30366,113,和歌山県,有田川町,2015-12-31,野田,560
30366,121,和歌山県,有田川町,2015-12-31,大賀畑,13
30366,122,和歌山県,有田川町,2015-12-31,田口,379
30366,123,和歌山県,有田川町,2015-12-31,大谷,184
30366,124,和歌山県,有田川町,2015-12-31,井口,282
30366,125,和歌山県,有田川町,2015-12-31,賢,451
30366,126,和歌山県,有田川町,2015-12-31,田角,85
30366,127,和歌山県,有田川町,2015-12-31,船坂,177
30366,128,和歌山県,有田川町,2015-12-31,長谷,12
30366,129,和歌山県,有田川町,2015-12-31,出,170
30366,130,和歌山県,有田川町,2015-12-31,尾中,143
30366,131,和歌山県,有田川町,2015-12-31,角,177
30366,132,和歌山県,有田川町,2015-12-31,長田,340
30366,133,和歌山県,有田川町,2015-12-31,上中島,481
30366,141,和歌山県,有田川町,2015-12-31,徳田,1984
30366,142,和歌山県,有田川町,2015-12-31,庄,1434
30366,145,和歌山県,有田川町,2015-12-31,垣倉,355
30366,146,和歌山県,有田川町,2015-12-31,東丹生図,260
30366,147,和歌山県,有田川町,2015-12-31,西丹生図,233
30366,148,和歌山県,有田川町,2015-12-31,吉見,185
30366,201,和歌山県,有田川町,2015-12-31,吉原,1171
30366,202,和歌山県,有田川町,2015-12-31,糸川,103
30366,203,和歌山県,有田川町,2015-12-31,修理川,140
30366,204,和歌山県,有田川町,2015-12-31,宇井苔,32
30366,205,和歌山県,有田川町,2015-12-31,松原,79
30366,206,和歌山県,有田川町,2015-12-31,歓喜寺,181
30366,211,和歌山県,有田川町,2015-12-31,伏羊,135
30366,212,和歌山県,有田川町,2015-12-31,小川,1051
30366,214,和歌山県,有田川町,2015-12-31,中野,202
30366,215,和歌山県,有田川町,2015-12-31,市場,374
30366,216,和歌山県,有田川町,2015-12-31,中井原,561
30366,217,和歌山県,有田川町,2015-12-31,金屋,938
30366,218,和歌山県,有田川町,2015-12-31,長谷川,316
30366,221,和歌山県,有田川町,2015-12-31,岩野河,129
30366,222,和歌山県,有田川町,2015-12-31,川口,166
30366,223,和歌山県,有田川町,2015-12-31,谷,37
30366,224,和歌山県,有田川町,2015-12-31,立石,41
30366,231,和歌山県,有田川町,2015-12-31,彦ケ瀬,40
30366,232,和歌山県,有田川町,2015-12-31,瀬井,82
30366,234,和歌山県,有田川町,2015-12-31,西ケ峯,298
30366,236,和歌山県,有田川町,2015-12-31,中,85
30366,237,和歌山県,有田川町,2015-12-31,中峯,65
30366,238,和歌山県,有田川町,2015-12-31,本堂,18
30366,239,和歌山県,有田川町,2015-12-31,有原,67
30366,240,和歌山県,有田川町,2015-12-31,青田,102
30366,241,和歌山県,有田川町,2015-12-31,沼田,96
30366,242,和歌山県,有田川町,2015-12-31,延坂,54
30366,243,和歌山県,有田川町,2015-12-31,大西,5
30366,244,和歌山県,有田川町,2015-12-31,大薗,30
30366,245,和歌山県,有田川町,2015-12-31,尾上,38
30366,246,和歌山県,有田川町,2015-12-31,小原,45
30366,247,和歌山県,有田川町,2015-12-31,生石,166
30366,251,和歌山県,有田川町,2015-12-31,丹生,203
30366,252,和歌山県,有田川町,2015-12-31,糸野,406
30366,253,和歌山県,有田川町,2015-12-31,下六川,84
30366,254,和歌山県,有田川町,2015-12-31,釜中,63
30366,255,和歌山県,有田川町,2015-12-31,黒松,99
30366,256,和歌山県,有田川町,2015-12-31,上六川,88
30366,301,和歌山県,有田川町,2015-12-31,中原,58
30366,302,和歌山県,有田川町,2015-12-31,川合,29
30366,303,和歌山県,有田川町,2015-12-31,二澤,47
30366,304,和歌山県,有田川町,2015-12-31,北野川,30
30366,311,和歌山県,有田川町,2015-12-31,粟生,372
30366,312,和歌山県,有田川町,2015-12-31,二川,366
30366,313,和歌山県,有田川町,2015-12-31,東大谷,56
30366,314,和歌山県,有田川町,2015-12-31,三瀬川,27
30366,315,和歌山県,有田川町,2015-12-31,日物川,51
30366,316,和歌山県,有田川町,2015-12-31,境川,49
30366,321,和歌山県,有田川町,2015-12-31,井谷,23
30366,322,和歌山県,有田川町,2015-12-31,板尾,133
30366,323,和歌山県,有田川町,2015-12-31,杉野原,110
30366,324,和歌山県,有田川町,2015-12-31,押手,66
30366,325,和歌山県,有田川町,2015-12-31,沼谷,52
30366,331,和歌山県,有田川町,2015-12-31,楠本,165
30366,332,和歌山県,有田川町,2015-12-31,沼,68
30366,333,和歌山県,有田川町,2015-12-31,遠井,52
30366,334,和歌山県,有田川町,2015-12-31,三田,103
30366,335,和歌山県,有田川町,2015-12-31,宮川,43
30366,336,和歌山県,有田川町,2015-12-31,大蔵,39
30366,337,和歌山県,有田川町,2015-12-31,清水,1011
30366,338,和歌山県,有田川町,2015-12-31,久野原,370
30366,339,和歌山県,有田川町,2015-12-31,下湯川,108
30366,340,和歌山県,有田川町,2015-12-31,上湯川,32
30366,341,和歌山県,有田川町,2015-12-31,上湯川(室川),9
