市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
030366,101,和歌山県,有田川町,2023-03-31,天満,1336,657,679,48,26,38,32,44,53,34,31,27,33,51,46,45,47,46,44,54,50,43,39,38,45,35,44,35,37,27,36,37,34,28,30,14,23,13,29,527,
030366,102,和歌山県,有田川町,2023-03-31,下津野,2904,1402,1502,107,94,89,92,96,83,86,71,61,73,76,105,84,80,111,124,97,108,105,105,92,95,70,82,86,96,65,51,61,68,42,50,32,49,42,76,1044,
030366,106,和歌山県,有田川町,2023-03-31,植野,445,210,235,12,9,10,17,16,15,10,15,11,9,9,13,13,13,17,15,10,15,13,18,18,12,13,10,14,22,16,19,15,12,7,5,1,4,5,12,164,
030366,107,和歌山県,有田川町,2023-03-31,土生,617,294,323,18,26,17,19,20,10,17,11,15,16,19,16,20,29,25,23,14,18,17,14,23,29,15,16,18,21,19,13,8,24,18,17,6,8,5,13,229,
030366,108,和歌山県,有田川町,2023-03-31,奥,686,328,358,20,17,19,28,19,16,25,12,18,13,11,13,23,24,20,28,22,21,21,19,25,33,20,19,17,19,19,18,18,20,11,14,11,9,9,35,234,
030366,109,和歌山県,有田川町,2023-03-31,水尻,1454,710,744,31,23,27,39,39,36,42,37,57,43,44,40,37,46,65,55,49,51,57,51,41,66,53,58,45,44,27,44,37,36,22,28,23,23,14,24,612,
030366,110,和歌山県,有田川町,2023-03-31,熊井,360,179,181,2,6,8,8,9,5,11,13,13,8,8,7,6,5,5,8,9,6,15,23,25,21,26,23,12,3,10,7,9,6,4,6,2,12,5,14,168,
030366,111,和歌山県,有田川町,2023-03-31,明王寺,575,267,308,11,12,7,11,9,14,14,15,21,18,19,19,19,14,14,16,18,14,26,23,23,19,13,19,12,28,21,15,17,12,10,17,8,14,5,28,243,
030366,112,和歌山県,有田川町,2023-03-31,小島,374,182,192,4,6,14,13,7,11,14,7,8,16,9,10,13,6,11,12,11,15,14,11,13,18,13,9,8,12,11,12,10,12,9,13,9,3,4,6,164,
030366,113,和歌山県,有田川町,2023-03-31,野田,693,336,357,29,24,29,33,24,15,16,19,13,24,25,27,25,24,31,29,22,28,27,25,17,14,16,21,17,15,10,12,11,12,11,12,7,9,6,14,255,
